sale_id,customer_name,city,product_name,promotion_name,units_sold,price,order_date
1,Margaret Snyder,Invercargill,Headphones,None,20,183.07,2024-12-13
2,Tamara Lopez,Dunedin,Smartphone,Holiday Sale,9,316.4,2025-02-14
3,Randall Ford,Wellington,Watch,BOGO,12,481.52,2025-09-14
4,Kyle Peck,Wellington,Charger,Clearance,1,20.42,2025-01-06
5,Darren Hill,Invercargill,Backpack,Flash Deal,10,487.86,2025-02-26
6,David Lewis,Dunedin,Backpack,None,16,153.17,2025-08-19
7,Katelyn Schmidt,Dunedin,Charger,Holiday Sale,1,478.43,2024-12-17
8,Ronald Johnson,Dunedin,Watch,Clearance,9,227.83,2024-12-24
9,Karen Lopez DDS,Christchurch,Mouse,Holiday Sale,4,144.77,2025-01-20
10,Anthony Turner,Christchurch,Watch,None,18,403.16,2025-11-04
